latitude,longitude,height,distance,sum_distance,slope,date,utm_x,utm_y,velocidad_gps,consumo_total,consumo_inst,ds,velocidad
-3.496288,-79.16288,2515.0,31.700505243895474,2908.8718755650366,0.0,12:11:38,704082.4593775335,9613350.73230569,56.5,3092.66,12.95,2,15.850252621947737
-3.496565,-79.162926,2515.0,31.06733166122676,2939.9392072262635,0.0,12:11:40,704077.2876451099,9613320.108605169,55.28,3092.67,12.85,2,15.53366583061338
-3.496835,-79.162971,2515.0,30.28546513465619,2970.2246723609196,0.0,12:11:42,704072.228551743,9613290.258825213,53.71,3092.67,12.25,2,15.142732567328094
-3.497098,-79.16301,2515.0,29.416600367985936,2999.6412727289057,0.0,12:11:44,704067.8377286047,9613261.18187872,51.91,3092.68,11.25,2,14.708300183992968
-3.497354,-79.16304,2515.0,28.516951027836374,3028.1582237567422,0.0,12:11:46,704064.4485538659,9613232.877113193,50.41,3092.69,11.5,2,14.258475513918187
-3.497595,-79.163048,2515.0,26.67729682601512,3054.8355205827575,0.0,12:11:48,704063.5073978743,9613206.226429423,46.82,3092.69,7.7,2,13.33864841300756
-3.497834,-79.163048,2515.0,26.441291883953664,3081.276812466711,0.0,12:11:50,704063.4556804937,9613179.795188136,48.26,3092.7,16.8,2,13.220645941976832
-3.498081,-79.163048,2515.0,27.326021452155608,3108.6028339188665,0.0,12:11:52,704063.4022282786,9613152.479218982,50.06,3092.7,19.05,2,13.663010726077804
-3.498332,-79.163094,2547.5,28.23514098503834,3136.837974903905,1.1510479093134895,12:11:54,704058.2361078965,9613124.730889594,50.06,3092.71,17.0,2,14.11757049251917
-3.498539,-79.163239,2550.5,28.00463147603648,3164.8426063799416,0.10712513758901257,12:11:56,704042.0780328696,9613101.870093394,50.06,3092.72,15.65,2,14.00231573801824
-3.498739,-79.163582,2550.5,44.078898788485695,3208.9215051684273,0.0,12:11:59,704003.9185335324,9613079.826489996,53.0,3092.73,15.5,3,14.692966262828564
-3.498864,-79.163818,2550.5,29.65610298343684,3238.5776081518643,0.0,12:12:01,703977.6657584645,9613066.053936735,53.97,3092.74,16.4,2,14.82805149171842
-3.498993,-79.164055,2550.5,29.962598799455986,3268.54020695132,0.0,12:12:03,703951.3010015332,9613051.839234248,54.82,3092.75,16.8,2,14.981299399727993
-3.499121,-79.164307,2550.5,31.38824955450437,3299.9284565058247,0.0,12:12:05,703923.2695822789,9613037.738380384,54.87,3092.76,15.05,2,15.694124777252185
-3.499247,-79.164551,2550.5,30.49573703800571,3330.4241935438304,0.0,12:12:07,703896.1276130498,9613023.856965862,55.23,3092.77,15.3,2,15.247868519002855
-3.499374,-79.164795,2550.5,30.54643724722637,3360.970630791057,0.0,12:12:09,703868.9854375126,9613009.864957184,55.19,3092.78,14.4,2,15.273218623613184
-3.499499,-79.165039,2550.5,30.44533201983577,3391.415962810893,0.0,12:12:11,703841.8437045282,9612996.094126934,54.06,3092.79,14.05,2,15.222666009917885
-3.499622,-79.165276,2550.5,29.652261803313415,3421.068224614206,0.0,12:12:13,703815.4802943435,9612982.542953987,53.39,3092.79,12.4,2,14.826130901656708
-3.499727,-79.16552,2550.5,29.506590118690177,3450.5748147328964,0.0,12:12:15,703788.3429054489,9612970.983933587,52.56,3092.8,12.8,2,14.753295059345088
