secuencia,fecha,hora,latitud,l,longitud,altitud
12056,05/06/2012,06:46:34,19.463301,99.149279,-99.149279,2244.89209
12057,05/06/2012,06:46:35,19.463294,99.149309,-99.149309,2244.895508
12058,05/06/2012,06:46:36,19.463288,99.149337,-99.149337,2244.812988
12059,05/06/2012,06:46:37,19.463281,99.149365,-99.149365,2245.493408
12060,05/06/2012,06:46:38,19.46328,99.149391,-99.149391,2244.945557
12061,05/06/2012,06:46:39,19.463277,99.149411,-99.149411,2244.732666
12062,05/06/2012,06:46:40,19.463276,99.149422,-99.149422,2244.916016
12063,05/06/2012,06:46:41,19.463275,99.149427,-99.149427,2244.67041
12064,05/06/2012,06:46:42,19.463272,99.149434,-99.149434,2244.626465
12065,05/06/2012,06:46:43,19.46327,99.149441,-99.149441,2244.928711
12066,05/06/2012,06:46:44,19.463267,99.149453,-99.149453,2244.938721
12067,05/06/2012,06:46:45,19.463264,99.149468,-99.149468,2245.341797
12068,05/06/2012,06:46:46,19.463257,99.14949,-99.14949,2245.365967
12069,05/06/2012,06:46:47,19.46325,99.149512,-99.149512,2245.573975
12070,05/06/2012,06:46:48,19.463244,99.149533,-99.149533,2245.756348
12071,05/06/2012,06:46:49,19.463236,99.14955,-99.14955,2246.277344
12072,05/06/2012,06:46:50,19.463231,99.149565,-99.149565,2246.875244
12073,05/06/2012,06:46:51,19.463226,99.149584,-99.149584,2246.907715
12074,05/06/2012,06:46:52,19.463219,99.149597,-99.149597,2247.476563
12075,05/06/2012,06:46:53,19.463215,99.149609,-99.149609,2247.822754
12076,05/06/2012,06:46:54,19.463209,99.149619,-99.149619,2247.932617
12077,05/06/2012,06:46:55,19.463207,99.149633,-99.149633,2247.822266
12078,05/06/2012,06:46:56,19.463204,99.149647,-99.149647,2247.972168
12079,05/06/2012,06:46:57,19.463198,99.149657,-99.149657,2248.287109
12080,05/06/2012,06:46:58,19.46319,99.149671,-99.149671,2249.099365
12081,05/06/2012,06:46:59,19.463184,99.149683,-99.149683,2249.620605
12082,05/06/2012,06:47:00,19.463181,99.149698,-99.149698,2250.100342
12083,05/06/2012,06:47:01,19.463173,99.14972,-99.14972,2250.484619
12084,05/06/2012,06:47:02,19.463166,99.149743,-99.149743,2250.4375
12085,05/06/2012,06:47:03,19.463159,99.149767,-99.149767,2250.534912
12086,05/06/2012,06:47:04,19.463154,99.149794,-99.149794,2250.349365
12087,05/06/2012,06:47:05,19.463148,99.149814,-99.149814,2250.902832
12088,05/06/2012,06:47:06,19.463143,99.14984,-99.14984,2251.659668
12089,05/06/2012,06:47:07,19.463136,99.149869,-99.149869,2252.773438
12090,05/06/2012,06:47:08,19.463133,99.149894,-99.149894,2252.426025
12091,05/06/2012,06:47:09,19.463126,99.14992,-99.14992,2252.837891
12092,05/06/2012,06:47:10,19.463122,99.149954,-99.149954,2252.697266
12093,05/06/2012,06:47:11,19.463116,99.149982,-99.149982,2253.354492
12094,05/06/2012,06:47:12,19.463109,99.150014,-99.150014,2253.964111
12095,05/06/2012,06:47:13,19.463096,99.150047,-99.150047,2255.886963
12096,05/06/2012,06:47:14,19.463087,99.150079,-99.150079,2257.460449
12097,05/06/2012,06:47:15,19.463073,99.150116,-99.150116,2257.612061
12098,05/06/2012,06:47:16,19.463058,99.150174,-99.150174,2257.655273
12099,05/06/2012,06:47:17,19.46305,99.150233,-99.150233,2257.144287
12100,05/06/2012,06:47:18,19.463046,99.150288,-99.150288,2256.161133
12101,05/06/2012,06:47:19,19.463044,99.15035,-99.15035,2256.432861
12102,05/06/2012,06:47:20,19.463037,99.150414,-99.150414,2256.736572
12103,05/06/2012,06:47:21,19.463037,99.15049,-99.15049,2254.279541
12104,05/06/2012,06:47:22,19.463039,99.150568,-99.150568,2254.424561
12105,05/06/2012,06:47:23,19.46304,99.150648,-99.150648,2253.585449
12106,05/06/2012,06:47:24,19.463046,99.150732,-99.150732,2252.544189
12107,05/06/2012,06:47:25,19.463052,99.150814,-99.150814,2252.313477
12108,05/06/2012,06:47:26,19.463058,99.150896,-99.150896,2252.162598
12109,05/06/2012,06:47:27,19.463068,99.15098,-99.15098,2251.898193
12110,05/06/2012,06:47:28,19.463076,99.151064,-99.151064,2251.943848
12111,05/06/2012,06:47:29,19.463083,99.151153,-99.151153,2251.987549
12112,05/06/2012,06:47:30,19.463091,99.151238,-99.151238,2252.043701
12113,05/06/2012,06:47:31,19.463103,99.15133,-99.15133,2251.739014
12114,05/06/2012,06:47:32,19.463112,99.151423,-99.151423,2251.679932
12115,05/06/2012,06:47:33,19.463123,99.151518,-99.151518,2251.556396
12116,05/06/2012,06:47:34,19.463137,99.151613,-99.151613,2251.275146
12117,05/06/2012,06:47:35,19.463148,99.151708,-99.151708,2251.743408
12118,05/06/2012,06:47:36,19.463158,99.151797,-99.151797,2252.952637
12119,05/06/2012,06:47:37,19.463168,99.151885,-99.151885,2253.45874
12120,05/06/2012,06:47:38,19.463174,99.151968,-99.151968,2253.972168
12121,05/06/2012,06:47:39,19.463184,99.152047,-99.152047,2253.840576
12122,05/06/2012,06:47:40,19.463192,99.152128,-99.152128,2253.657227
12123,05/06/2012,06:47:41,19.463204,99.152201,-99.152201,2253.831055
12124,05/06/2012,06:47:42,19.463215,99.152272,-99.152272,2252.66748
12125,05/06/2012,06:47:43,19.463227,99.152345,-99.152345,2252.600342
12126,05/06/2012,06:47:44,19.463239,99.152415,-99.152415,2252.4021
12127,05/06/2012,06:47:45,19.463254,99.152483,-99.152483,2252.836182
